id,category,question,gold_evidence,citations,retrieved_evidence,answer,review_decision,suggested_evidence,reviewer_note
minigeo_135,model_cited_other,MiniGeo 如何避免在回答石英问题时产生无证据结论？,doc_quartz#chunk_001,doc_muscovite#chunk_002,"doc_system#chunk_001, doc_quartz#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002, doc_anorthite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_136,model_cited_other,MiniGeo 如何避免在回答长石问题时产生无证据结论？,doc_feldspar#chunk_001,doc_muscovite#chunk_002,"doc_feldspar#chunk_001, doc_system#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_006",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据可以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_139,model_cited_other,MiniGeo 如何避免在回答白云石问题时产生无证据结论？,doc_dolomite#chunk_001,doc_muscovite#chunk_002,"doc_muscovite#chunk_002, doc_system#chunk_001, doc_dolomite#chunk_001, doc_system#chunk_006, doc_anorthite#chunk_002",MiniGeo 通过要求可信回答必须包含证据来源、返回 chunk id 以追踪引用是否支持结论，以及同时返回 SQL 和证据来提高结构化数据结论和地学解释的可追踪性，从而避免无证据结论。,,,
minigeo_140,model_cited_other,MiniGeo 如何避免在回答石膏问题时产生无证据结论？,doc_gypsum#chunk_001,doc_muscovite#chunk_002,"doc_system#chunk_001, doc_gypsum#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_006, doc_anorthite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，同时 Agent 最终答案返回 SQL 和证据，以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_141,model_cited_neighbor,MiniGeo 如何避免在回答磁铁矿问题时产生无证据结论？,doc_magnetite#chunk_001,doc_magnetite#chunk_002,"doc_magnetite#chunk_002, doc_magnetite#chunk_001, doc_system#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过要求最终结论必须结合结构或光谱证据，并返回可追踪的 chunk id 来避免无证据结论，确保地学解释的可验证性。,,,
minigeo_142,model_cited_neighbor,MiniGeo 如何避免在回答黄铁矿问题时产生无证据结论？,doc_pyrite#chunk_001,doc_pyrite#chunk_002,"doc_pyrite#chunk_002, doc_system#chunk_001, doc_pyrite#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过要求结合硬度、条痕和成分证据来避免仅凭金属光泽得出无证据结论，同时利用 RAG 返回 chunk id 和 SQL 证据来确保答案的可追踪性。,,,
minigeo_143,model_cited_neighbor,MiniGeo 如何避免在回答橄榄石问题时产生无证据结论？,doc_olivine#chunk_001,doc_olivine#chunk_002,"doc_olivine#chunk_001, doc_system#chunk_001, doc_olivine#chunk_002, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过返回证据来源（chunk id）使答案可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据可提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_144,model_cited_neighbor,MiniGeo 如何避免在回答白云母问题时产生无证据结论？,doc_muscovite#chunk_001,doc_muscovite#chunk_002,"doc_muscovite#chunk_002, doc_muscovite#chunk_001, doc_system#chunk_001, doc_system#chunk_006, doc_kaolinite#chunk_002",MiniGeo 通过要求可信回答必须包含证据来源、返回 chunk id 以支持结论可追踪性，以及同时返回 SQL 和证据来提高地学解释的可信度与可验证性。,,,
minigeo_145,model_cited_other,MiniGeo 如何避免在回答高岭石问题时产生无证据结论？,doc_kaolinite#chunk_001,doc_muscovite#chunk_002,"doc_kaolinite#chunk_001, doc_system#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002, doc_kaolinite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_147,model_cited_other,MiniGeo 如何避免在回答石英问题时产生无证据结论？,doc_quartz#chunk_001,doc_muscovite#chunk_002,"doc_system#chunk_001, doc_quartz#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002, doc_anorthite#chunk_002",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_148,model_cited_other,MiniGeo 如何避免在回答长石问题时产生无证据结论？,doc_feldspar#chunk_001,doc_muscovite#chunk_002,"doc_feldspar#chunk_001, doc_system#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_006",MiniGeo 通过在回答中返回 chunk id 来确保答案的证据来源可追踪，便于检查引用是否支持结论，同时返回 SQL 和证据可以提高结构化数据结论和地学解释的可追踪性。,,,
minigeo_153,model_cited_neighbor,识别石英时为什么需要证据来源？,doc_quartz#chunk_001,doc_quartz#chunk_002,"doc_muscovite#chunk_002, doc_system#chunk_001, doc_quartz#chunk_001, doc_quartz#chunk_002, doc_system#chunk_006",识别石英时需要证据来源，因为光谱证据（如强拉曼峰接近 464 cm-1）可作为识别石英的重要依据，且返回证据来源可追踪引用是否支持结论。,,,
minigeo_155,model_cited_other,长石的常用组成或化学式是什么？,doc_feldspar#chunk_001,doc_anorthite#chunk_001,"doc_feldspar#chunk_001, doc_anorthite#chunk_001, doc_gypsum#chunk_001, doc_dolomite#chunk_001, doc_feldspar#chunk_002",长石的化学组成可表示为 CaAl2Si2O8（以钙长石为例）。,,,
minigeo_156,model_cited_other,识别长石时为什么需要证据来源？,doc_feldspar#chunk_001,"doc_anorthite#chunk_002, doc_olivine#chunk_002","doc_feldspar#chunk_001, doc_muscovite#chunk_002, doc_system#chunk_001, doc_anorthite#chunk_002, doc_olivine#chunk_002",识别长石时，需要证据来源以确保分类准确，避免将长石族矿物（如钙长石）误归为其他类别（如碳酸盐矿物），并需结合晶体结构和谱学证据进行区分。,,,
minigeo_162,model_cited_neighbor,识别赤铁矿时为什么需要证据来源？,doc_hematite#chunk_001,"doc_hematite#chunk_002, doc_magnetite#chunk_002","doc_muscovite#chunk_002, doc_hematite#chunk_002, doc_system#chunk_001, doc_hematite#chunk_001, doc_magnetite#chunk_002",识别赤铁矿时需要证据来源，因为最终结论应结合结构或光谱证据，仅靠单一特征（如磁性）不足以区分赤铁矿与其他矿物（如磁铁矿）。,,,
minigeo_165,model_cited_neighbor,识别白云石时为什么需要证据来源？,doc_dolomite#chunk_001,"doc_dolomite#chunk_002, doc_muscovite#chunk_002","doc_muscovite#chunk_002, doc_dolomite#chunk_001, doc_system#chunk_001, doc_dolomite#chunk_002, doc_system#chunk_006",识别白云石需要证据来源，因为白云石与方解石同属碳酸盐体系但含有镁，反应和谱学解释需要区分，仅凭片状解理等特征不足以确认，必须通过可追踪的证据来源来支持结论。,,,
minigeo_171,model_cited_neighbor,识别磁铁矿时为什么需要证据来源？,doc_magnetite#chunk_001,doc_magnetite#chunk_002,"doc_muscovite#chunk_002, doc_magnetite#chunk_001, doc_magnetite#chunk_002, doc_system#chunk_001, doc_hematite#chunk_002",识别磁铁矿时需要证据来源，因为虽然磁性可以辅助区分磁铁矿和赤铁矿，但最终结论仍应结合结构或光谱证据，以确保识别的准确性。,,,
minigeo_174,model_cited_neighbor,识别黄铁矿时为什么需要证据来源？,doc_pyrite#chunk_001,doc_pyrite#chunk_002,"doc_muscovite#chunk_002, doc_pyrite#chunk_002, doc_pyrite#chunk_001, doc_system#chunk_001, doc_system#chunk_006",识别黄铁矿时需要证据来源，因为其金属光泽不能单独证明其为金或氧化物，必须结合硬度、条痕和成分等具体证据才能确认。,,,
minigeo_177,model_cited_neighbor,识别橄榄石时为什么需要证据来源？,doc_olivine#chunk_001,doc_olivine#chunk_002,"doc_olivine#chunk_001, doc_muscovite#chunk_002, doc_olivine#chunk_002, doc_system#chunk_001, doc_system#chunk_006",识别橄榄石需要证据来源，因为橄榄石与辉石都出现在镁铁质岩石中，分类时必须结合晶体结构和谱学证据，仅凭外观容易混淆。,,,
minigeo_180,model_cited_neighbor,识别白云母时为什么需要证据来源？,doc_muscovite#chunk_001,doc_muscovite#chunk_002,"doc_muscovite#chunk_002, doc_muscovite#chunk_001, doc_system#chunk_001, doc_kaolinite#chunk_002, doc_system#chunk_006",识别白云母时需要证据来源，因为可信的回答必须能够追踪到支持结论的具体依据，以便验证引用是否真正支撑了关于矿物特征（如片状解理）的陈述。,,,
minigeo_183,model_cited_other,识别高岭石时为什么需要证据来源？,doc_kaolinite#chunk_001,doc_muscovite#chunk_002,"doc_muscovite#chunk_002, doc_kaolinite#chunk_001, doc_system#chunk_001, doc_kaolinite#chunk_002, doc_system#chunk_006",识别高岭石时需要证据来源，因为返回证据来源可以让答案的可追踪性提高，便于检查引用是否支持结论，从而提高地学解释的可信度。,,,
minigeo_186,model_cited_neighbor,识别钙长石时为什么需要证据来源？,doc_anorthite#chunk_001,"doc_anorthite#chunk_002, doc_muscovite#chunk_002","doc_feldspar#chunk_001, doc_anorthite#chunk_001, doc_anorthite#chunk_002, doc_muscovite#chunk_002, doc_system#chunk_001",识别钙长石时需要证据来源，因为可信回答必须基于可追踪的证据，避免将钙长石误归为其他矿物（如碳酸盐矿物），并确保结论有依据支持。,,,
minigeo_231,model_cited_neighbor,比较赤铁矿和磁铁矿时为什么需要多条证据？,"doc_hematite#chunk_001, doc_magnetite#chunk_001","doc_hematite#chunk_002, doc_magnetite#chunk_002","doc_magnetite#chunk_001, doc_hematite#chunk_002, doc_magnetite#chunk_002, doc_hematite#chunk_001, doc_pyrite#chunk_002",比较赤铁矿和磁铁矿需要多条证据，因为仅凭磁性无法最终区分两者，必须结合结构或光谱证据；同时，两者均为铁氧化物矿物，需通过多种特征（如磁性、光谱特征）综合确认以避免误判。,,,
minigeo_234,model_cited_neighbor,比较橄榄石和长石时为什么需要多条证据？,"doc_feldspar#chunk_001, doc_olivine#chunk_001","doc_anorthite#chunk_002, doc_feldspar#chunk_002, doc_olivine#chunk_002","doc_olivine#chunk_001, doc_feldspar#chunk_001, doc_olivine#chunk_002, doc_feldspar#chunk_002, doc_anorthite#chunk_002",比较橄榄石和长石需要多条证据，因为橄榄石与辉石在镁铁质岩石中分类时需结合晶体结构和谱学证据，而长石与石英同属硅酸盐体系，部分框架振动特征可能接近，弱峰和噪声会增加混淆风险，且需区分钙长石与碳酸盐矿物。,,,
minigeo_235,model_cited_other,为什么不能只凭外观判断石英？,"doc_quartz#chunk_001, doc_quartz#chunk_002","doc_feldspar#chunk_002, doc_gypsum#chunk_002","doc_quartz#chunk_001, doc_gypsum#chunk_002, doc_hematite#chunk_001, doc_feldspar#chunk_002, doc_quartz#chunk_002",不能仅凭外观判断石英，因为长石与石英同属硅酸盐体系，部分框架振动特征可能接近，弱峰和噪声会增加混淆风险；此外，石膏硬度较低，也不能仅凭浅色外观与石英区分。,,,
minigeo_254,model_cited_neighbor,MiniGeo 如何避免在回答黄铁矿问题时产生无证据结论？,doc_pyrite#chunk_001,doc_pyrite#chunk_002,"doc_pyrite#chunk_002, doc_system#chunk_001, doc_pyrite#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过要求结合硬度、条痕和成分证据来避免仅凭金属光泽得出无证据结论，同时利用 RAG 返回 chunk id 和 SQL 证据来确保答案的可追踪性。,,,
minigeo_259,model_cited_other,为什么不能只凭外观判断石英？,"doc_quartz#chunk_001, doc_quartz#chunk_002","doc_feldspar#chunk_002, doc_gypsum#chunk_002","doc_quartz#chunk_001, doc_gypsum#chunk_002, doc_hematite#chunk_001, doc_feldspar#chunk_002, doc_quartz#chunk_002",不能仅凭外观判断石英，因为长石与石英同属硅酸盐体系，部分框架振动特征可能接近，弱峰和噪声会增加混淆风险；此外，石膏硬度较低，也不能仅凭浅色外观与石英区分。,,,
minigeo_278,model_cited_neighbor,MiniGeo 如何避免在回答黄铁矿问题时产生无证据结论？,doc_pyrite#chunk_001,doc_pyrite#chunk_002,"doc_pyrite#chunk_002, doc_system#chunk_001, doc_pyrite#chunk_001, doc_system#chunk_006, doc_muscovite#chunk_002",MiniGeo 通过要求结合硬度、条痕和成分证据来避免仅凭金属光泽得出无证据结论，同时利用 RAG 返回 chunk id 和 SQL 证据来确保答案的可追踪性。,,,
minigeo_283,model_cited_other,为什么不能只凭外观判断石英？,"doc_quartz#chunk_001, doc_quartz#chunk_002","doc_feldspar#chunk_002, doc_gypsum#chunk_002","doc_quartz#chunk_001, doc_gypsum#chunk_002, doc_hematite#chunk_001, doc_feldspar#chunk_002, doc_quartz#chunk_002",不能仅凭外观判断石英，因为长石与石英同属硅酸盐体系，部分框架振动特征可能接近，弱峰和噪声会增加混淆风险；此外，石膏硬度较低，也不能仅凭浅色外观与石英区分。,,,
